Country;adjusted_satisfaction (0-100);avg_satisfaction (0-10);std_satisfaction;avg_income (&);median_income (&);income_inequality;Region;Happy Score (0-10);GDP;country.1
Armenia;37;4,9;2,42;2096,76;1731,506667;31,44555556;'Central and Eastern Europe';4,35;0,76821;Armenia
Angola;26;4,3;3,19;1448,88;1044,24;42,72;'Sub-Saharan Africa';4,033;0,75778;Angola
Argentina;60;7,1;1,91;7101,12;5109,4;45,47555556;'Latin America and Caribbean';6,574;1,05351;Argentina
Austria;59;7,2;2,11;19457,04;16879,62;30,29625;'Western Europe';7,2;1,33723;Austria
Australia;65;7,6;1,8;19917;15846,06;35,285;'Australia and New Zealand';7,284;1,33358;Australia
Azerbaijan;46;5,8;2,27;3381,6;2931,48;24,215;'Central and Eastern Europe';5,212;1,02389;Azerbaijan
Bangladesh;43;5,3;2,1;1265,34;994,14;32,665;'Southern Asia';4,694;0,39753;Bangladesh
Belgium;63;7,2;1,72;17168,505;15166,455;28,745;'Western Europe';6,937;1,30782;Belgium
Burkina Faso;37;4,4;2,02;870,84;630,24;39,76;'Sub-Saharan Africa';3,587;0,25812;Burkina Faso
Bulgaria;34;4,6;2,57;5354,82;4523,565;34,1625;'Central and Eastern Europe';4,218;1,01216;Bulgaria
Burundi;25;2,9;1,96;572,88;436,92;33,36;'Sub-Saharan Africa';2,905;0,0153;Burundi
Benin;20;3;2,7;989,04;657;43,44;'Sub-Saharan Africa';3,34;0,28665;Benin
Bolivia;53;6,3;1,9;3985,71;2584,47;51,61;'Latin America and Caribbean';5,89;0,68133;Bolivia
Brazil;56;6,9;2,19;5567,235;3294,18;54,33375;'Latin America and Caribbean';6,983;0,98124;Brazil
Botswana;36;4,7;2,42;3484,68;1632,6;60,46;'Sub-Saharan Africa';4,332;0,99355;Botswana
Belarus;47;5,5;1,99;5453,933333;4814,453333;27,75444444;'Central and Eastern Europe';5,813;1,03192;Belarus
Canada;69;8;1,71;20190,78;16829,1;33,79;'North America';7,427;1,32629;Canada
Switzerland;70;8;1,62;23400,04;19442,92;32,93;'Western Europe';7,587;1,39651;Switzerland
Chile;55;6,8;2,13;7557,99;4448,01;51,27;'Latin America and Caribbean';6,67;1,10715;Chile
Cameroon;36;3,9;1,69;1490,52;1030,08;42,82;'Sub-Saharan Africa';4,252;0,4225;Cameroon
China;48;6,2;2,43;2673,642857;2108,13;37,57928571;'Eastern Asia';5,14;0,89012;China
Colombia;65;7,9;2,09;4618,062857;2618,674286;54,81571429;'Latin America and Caribbean';6,477;0,91861;Colombia
Costa Rica;73;8,5;1,71;6901,466667;4373,52;49,01888889;'Latin America and Caribbean';7,226;0,95578;Costa Rica
Cyprus;58;7,1;2,07;10493,955;8624,295;31,84;'Western Europe';5,689;1,20813;Cyprus
Czech Republic;54;6,6;2,13;9430,905;8363,37;26,41375;'Central and Eastern Europe';6,505;1,17898;Czech Republic
Germany;61;7,2;1,99;19285,96;16291,26;31,54166667;'Western Europe';6,75;1,32792;Germany
Djibouti;43;5,7;2,54;1875,24;1348,74;44,63;'Sub-Saharan Africa';4,369;0,44025;Djibouti
Denmark;74;8,4;1,53;17496,51;15630,885;28,155;'Western Europe';7,527;1,32548;Denmark
Dominican Republic;60;7,5;2,33;4430,76;2836,453333;48,41777778;'Latin America and Caribbean';4,885;0,89537;Dominican Republic
Ecuador;57;6,8;1,99;3835,653333;2435,266667;50,09555556;'Latin America and Caribbean';5,975;0,86402;Ecuador
Estonia;50;6,2;2,19;7906,725;6540,135;32,5275;'Central and Eastern Europe';5,429;1,15174;Estonia
Spain;60;7;1,85;13842,99;11782,395;34,625;'Western Europe';6,329;1,23011;Spain
Ethiopia;33;4,2;2,25;1050,72;857,16;33,17;'Sub-Saharan Africa';4,512;0,19073;Ethiopia
Finland;70;7,9;1,53;17310,195;14962,56;27,72375;'Western Europe';7,406;1,29025;Finland
France;52;6,4;2,15;18096,78857;14971,25143;32,25571429;'Western Europe';6,575;1,27778;France
Gabon;34;4,2;2,21;2520,96;1791,48;42,18;'Sub-Saharan Africa';3,896;1,06024;Gabon
United Kingdom;60;7,1;1,98;17099,55;14172,735;34,4325;'Western Europe';6,867;1,26637;United Kingdom
Georgia;37;4,3;1,91;1957,266667;1483,773333;40,89444444;'Central and Eastern Europe';4,297;0,7419;Georgia
Ghana;41;5,4;2,45;1577,04;1148,28;42,77;'Sub-Saharan Africa';4,633;0,54558;Ghana
Greece;54;6,5;2,07;11507,565;9776,475;35,00125;'Western Europe';4,857;1,15406;Greece
Honduras;55;7;2,46;3080,44;1757,84;55,80555556;'Latin America and Caribbean';4,788;0,59532;Honduras
Croatia;47;6;2,48;7828,08;6622,114286;32,00857143;'Central and Eastern Europe';5,759;1,08254;Croatia
Hungary;42;5,5;2,48;6903,883636;6056,716364;29,55545455;'Central and Eastern Europe';4,8;1,12094;Hungary
Indonesia;50;6,1;2,14;1541,747368;1161,066667;34,90842105;'Southeastern Asia';5,399;0,82827;Indonesia
Ireland;64;7,5;1,85;16657,77;13823,16;32,41875;'Western Europe';6,94;1,33596;Ireland
Israel;61;7,3;2,09;10645,24;8234,68;41,94;'Middle East and Northern Africa';7,278;1,22857;Israel
India;45;5,5;2,13;1357,848;1042,2;34,918;'Southern Asia';4,565;0,64499;India
Iran;45;5,8;2,49;5215,04;3961;39,24;'Middle East and Northern Africa';4,686;1,0088;Iran
Iceland;71;8,1;1,64;18828,345;16179,315;28,78;'Western Europe';7,561;1,30232;Iceland
Italy;57;6,6;1,81;15437,595;13163,07;34,12625;'Western Europe';5,948;1,25114;Italy
Japan;54;6,4;2,04;14542,8;12541,08;32,11;'Eastern Asia';5,987;1,27074;Japan
Kenya;30;3,7;2,14;1492,68;949,08;48,51;'Sub-Saharan Africa';4,419;0,36471;Kenya
Kyrgyzstan;48;5,8;2,09;1852,64;1530,133333;31,03555556;'Central and Eastern Europe';5,286;0,47428;Kyrgyzstan
Cambodia;40;4,9;2,12;1868,72;1437,38;34,465;'Southeastern Asia';3,819;0,46038;Cambodia
Kosovo;46;5,7;2,23;2627,005714;2224,68;30,07571429;'Central and Eastern Europe';5,589;0,80148;Kosovo
Kazakhstan;54;6,5;2,12;3555,093333;3025,48;28,42222222;'Central and Eastern Europe';5,855;1,12254;Kazakhstan
Laos;55;6,2;1,72;1491,72;1118,94;37,265;'Southeastern Asia';4,876;0,59066;Laos
Sri Lanka;42;5,1;2,07;2558,28;1862,36;38,6;'Southern Asia';4,271;0,83524;Sri Lanka
Liberia;37;4,4;2,02;653,04;528,72;36,48;'Sub-Saharan Africa';4,571;0,0712;Liberia
Lesotho;40;5,2;2,49;908,64;532,92;54,18;'Sub-Saharan Africa';4,898;0,37545;Lesotho
Lithuania;48;5,8;2,15;6789,16;5598,36;35,12;'Central and Eastern Europe';5,833;1,14723;Lithuania
Luxembourg;66;7,7;1,76;26182,275;22240,23;31,95;'Western Europe';6,946;1,56391;Luxembourg
Latvia;45;5,5;2,11;6722,901818;5438,214545;36,33454545;'Central and Eastern Europe';5,098;1,11312;Latvia
Morocco;43;5,3;2,19;2864,88;2064,48;40,72;'Middle East and Northern Africa';5,013;0,73479;Morocco
Moldova;42;5,3;2,25;3077,28;2547,413333;32,67444444;'Central and Eastern Europe';5,889;0,59448;Moldova
Madagascar;33;3,7;1,86;574,2;415,48;40,72;'Sub-Saharan Africa';3,681;0,20824;Madagascar
Mali;32;4,7;2,9;903,3;695,34;35,985;'Sub-Saharan Africa';3,995;0,26074;Mali
Mongolia;44;5,7;2,37;3181,8;2565,72;34,1325;'Eastern Asia';4,874;0,82819;Mongolia
Mauritania;36;4,9;2,62;1922,64;1567,2;35,69;'Sub-Saharan Africa';4,436;0,45407;Mauritania
Mauritius;48;5,9;2,19;4120,5;3222,78;35,745;'Sub-Saharan Africa';5,477;1,00761;Mauritius
Mexico;69;8,3;2,02;4148;2646,973333;48,97444444;'Latin America and Caribbean';7,187;1,02054;Mexico
Malaysia;56;6,6;1,9;7286,82;4930,68;46,155;'Southeastern Asia';5,77;1,12486;Malaysia
Mozambique;34;3,8;1,76;714,72;488,52;45,58;'Sub-Saharan Africa';4,971;0,08308;Mozambique
Niger;34;3,8;1,75;718,4;535,56;37,72666667;'Sub-Saharan Africa';3,845;0,0694;Niger
Nigeria;43;5,3;2,19;910,32;649,2;42,97;'Sub-Saharan Africa';5,268;0,65435;Nigeria
Nicaragua;55;7,1;2,5;2419,2;1632,88;45,79666667;'Latin America and Caribbean';5,828;0,59325;Nicaragua
Netherlands;69;7,6;1,38;18234,435;15880,545;29,27125;'Western Europe';7,378;1,32944;Netherlands
Norway;70;8;1,62;21877,71;19477,62;27,3075;'Western Europe';7,522;1,459;Norway
Nepal;48;5,3;1,65;1428,12;1155;32,84;'Southern Asia';4,514;0,35997;Nepal
Panama;65;7,8;2,02;6250,36;3814,213333;52,66444444;'Latin America and Caribbean';6,786;1,06353;Panama
Peru;52;6,5;2,28;4312,666667;2951,133333;48,1;'Latin America and Caribbean';5,824;0,90019;Peru
Philippines;53;7;2,66;2224,464;1472,4;44,768;'Southeastern Asia';5,073;0,70532;Philippines
Pakistan;45;6;2,72;1463,856;1174,368;31,196;'Southern Asia';5,194;0,59543;Pakistan
Poland;55;6,8;2,23;6582,465882;5451,247059;33,58882353;'Central and Eastern Europe';5,791;1,12555;Poland
Portugal;47;5,8;2,16;9982,875;7800,645;36,63;'Western Europe';5,102;1,15991;Portugal
Paraguay;56;6,8;2,04;4938,52;3136,04;50,96666667;'Latin America and Caribbean';5,878;0,75985;Paraguay
Romania;46;6;2,49;3174,15;2741,37;32,054375;'Central and Eastern Europe';5,124;1,04345;Romania
Serbia;44;5,6;2,32;4629,908571;3992,502857;29,72714286;'Central and Eastern Europe';5,123;0,92053;Serbia
Russia;43;5,6;2,43;7647,195;5520,975;41,24;'Central and Eastern Europe';5,716;1,13764;Russia
Rwanda;40;4,9;2,15;946,52;549,44;51,27333333;'Sub-Saharan Africa';3,465;0,22208;Rwanda
Sweden;67;7,8;1,72;17032,755;15166,605;26,95;'Western Europe';7,364;1,33171;Sweden
Slovenia;57;7;2,14;12174,765;11071,995;24,67875;'Central and Eastern Europe';5,848;1,18498;Slovenia
Slovakia;51;6,3;2,21;7986,396923;7180,301538;27,05615385;'Central and Eastern Europe';5,995;1,16891;Slovakia
Sierra Leone;27;3,5;2,36;850,08;669,36;33,99;'Sub-Saharan Africa';4,507;0,33024;Sierra Leone
Senegal;41;4,5;1,62;1135,08;850,02;39,755;'Sub-Saharan Africa';3,904;0,36498;Senegal
El Salvador;56;6,7;2,03;3410,893333;2366,28;44,82333333;'Latin America and Caribbean';6,13;0,76454;El Salvador
Chad;40;5,4;2,61;1177,68;876,6;43,32;'Sub-Saharan Africa';3,667;0,34193;Chad
Togo;22;2,6;2,08;936,36;636;44,115;'Sub-Saharan Africa';2,839;0,20868;Togo
Thailand;58;6,8;1,93;4792,5;3523,545;39,44875;'Southeastern Asia';6,455;0,9669;Thailand
Tajikistan;46;5,1;1,68;1497,03;1260,69;30,9725;'Central and Eastern Europe';4,786;0,39047;Tajikistan
Tunisia;43;5,5;2,37;3251,28;2572,56;36,77;'Middle East and Northern Africa';4,739;0,88113;Tunisia
Turkey;47;6;2,33;5242,666667;4018,68;39,76333333;'Middle East and Northern Africa';5,332;1,06098;Turkey
Tanzania;19;2,5;2,26;941,4;693,3;39,03;'Sub-Saharan Africa';3,781;0,2852;Tanzania
Ukraine;39;5,1;2,44;4129,68;3643,52;26,27111111;'Central and Eastern Europe';4,681;0,79907;Ukraine
Uganda;39;4,5;1,89;1126,48;780,16;42,71666667;'Sub-Saharan Africa';3,931;0,21102;Uganda
United States;62;7,3;1,92;23127;17925,36;41,09;'North America';7,119;1,39451;United States
Uruguay;58;7;2,13;7544,4;5269,226667;45,01444444;'Latin America and Caribbean';6,485;1,06166;Uruguay
Vietnam;53;6,1;1,77;2231,4;1643,58;39,2425;'Southeastern Asia';5,36;0,63216;Vietnam
South Africa;49;6,3;2,47;3889,32;1506,4;63,72666667;'Sub-Saharan Africa';4,642;0,92049;South Africa
Zambia;37;5;2,61;956,76;510,06;55,12;'Sub-Saharan Africa';5,129;0,47038;Zambia
Zimbabwe;33;4,1;2,16;1768,56;1230,6;43,15;'Sub-Saharan Africa';4,61;0,271;Zimbabwe
